feature,importance
trip_distance,3.5338930287299726
duration_min,2.440263586971713
PU:Staten Island,2.319704502967141
DO:Staten Island,2.078893681077454
Staten Island→Staten Island,1.7129789538289326
Manhattan→Bronx,1.40232159476468
Queens→Queens,1.3401052366842867
Manhattan→Manhattan,1.2338036776925474
PU:Manhattan,1.1643193459875985
PU:Brooklyn,1.1440074873693713
DO:EWR,1.1172736322281183
Brooklyn→Brooklyn,1.1126202119727466
PU:Bronx,1.0898247436831872
Queens→Bronx,1.0685881879547872
Manhattan→Brooklyn,0.9939875971818026
DO:Manhattan,0.9759361732686157
Manhattan→EWR,0.8591019074186408
Bronx→Manhattan,0.848918661328332
speed_mph,0.8046294617253595
PU:Queens,0.7866166181061348
Queens→Manhattan,0.7831526802153685
Bronx→Bronx,0.722962036381026
Manhattan→Queens,0.65179726900775
Queens→Brooklyn,0.6482296916114317
Bronx→Queens,0.5622949643425719
