year,total_trips,bad_timestamps,bad_distance,bad_coordinates,bad_prices,clean_trips
2001,27,27,13,3,5,0
2002,498,498,254,30,50,0
2003,50,50,27,14,20,0
2004,1,1,1,0,0,0
2007,1,1,0,0,0,0
2008,770,770,213,47,49,0
2009,1300,1300,316,67,72,0
2010,1,1,1,0,0,0
2011,4,0,1,0,0,3
2012,171359008,386934,1376003,4848118,727120,165308946
2013,171816340,505449,1616312,3912560,682089,166636249
2014,165447580,365015,1658087,4020123,746294,160317330
2015,146039232,175037,1502740,2889602,721297,141995541
2016,131131805,143470,1428131,2375860,633849,127606875
2017,113500386,108455,1328717,2119162,592956,110254566
2018,102870524,90377,1318044,1983936,575677,99719334
2019,84597309,78944,1311820,1186141,597654,82193460
2020,24649266,37412,511535,319558,230887,23816090
2021,30903983,59496,651336,532871,306720,29729930
2022,39655622,32035,827848,767622,474101,37977373
2023,38310138,15570,951773,633576,416653,36475743
2024,41169691,13510,960132,425656,861112,39084029
2025,19760405,128536,728694,145651,1111822,17912604
2026,5,5,2,1,0,0
2028,1,1,0,0,0,0
2029,7,7,1,1,1,0
2031,2,2,0,0,0,0
2032,1,1,0,0,0,0
2033,3,3,0,0,0,0
2037,1,1,0,0,0,0
2038,4,4,1,0,0,0
2041,3,3,0,1,0,0
2042,1,1,0,0,0,0
2053,2,2,1,1,1,0
2058,3,3,0,0,0,0
2066,1,1,0,0,0,0
2070,1,1,1,0,1,0
2084,8,8,0,0,0,0
2088,2,2,1,0,0,0
2090,1,1,0,0,0,0
2098,1,1,0,0,0,0
