year,Yellow,Green,FHV,FHVHV
2011,100.0,0.0,0.0,0.0
2012,100.0,0.0,0.0,0.0
2013,100.0,0.0,0.0,0.0
2014,91.28,8.72,0.0,0.0
2015,88.41,11.59,0.0,0.0
2016,88.97,11.03,0.0,0.0
2017,51.53,5.32,43.15,0.0
2018,30.81,2.66,66.52,0.0
2019,24.4,1.78,6.83,66.98
2020,14.3,0.98,1.59,83.13
2021,14.87,0.5,1.22,83.42
2022,15.63,0.32,1.33,82.72
2023,13.97,0.27,1.27,84.49
2024,14.46,0.22,1.25,84.07
2025,15.56,0.2,1.07,83.17
